model,source,domain,accuracy,precision,recall,f1
distilbert-base-uncased,OVERALL,OVERALL,0.7234726688102894,0.7134146341463414,0.75,0.73125
distilbert-base-uncased,UGC,OVERALL,0.7032258064516129,0.6951219512195121,0.7307692307692307,0.7125
distilbert-base-uncased,UGC,Health,0.6538461538461539,0.625,0.7692307692307693,0.6896551724137931
distilbert-base-uncased,UGC,Politics,0.8235294117647058,0.9473684210526315,0.6923076923076923,0.8
distilbert-base-uncased,UGC,War,0.6346153846153846,0.6129032258064516,0.7307692307692307,0.6666666666666666
distilbert-base-uncased,NGC,OVERALL,0.7435897435897436,0.7317073170731707,0.7692307692307693,0.75
distilbert-base-uncased,NGC,Health,0.7884615384615384,0.7272727272727273,0.9230769230769231,0.8135593220338984
distilbert-base-uncased,NGC,Politics,0.6538461538461539,0.6666666666666666,0.6153846153846154,0.64
distilbert-base-uncased,NGC,War,0.7884615384615384,0.8,0.7692307692307693,0.7843137254901961
roberta-base,OVERALL,OVERALL,0.797427652733119,0.7657142857142857,0.8589743589743589,0.8096676737160121
roberta-base,UGC,OVERALL,0.7870967741935484,0.7922077922077922,0.782051282051282,0.7870967741935484
roberta-base,UGC,Health,0.75,0.696969696969697,0.8846153846153846,0.7796610169491526
roberta-base,UGC,Politics,0.8235294117647058,0.9047619047619048,0.7307692307692307,0.8085106382978723
roberta-base,UGC,War,0.7884615384615384,0.8260869565217391,0.7307692307692307,0.7755102040816326
roberta-base,NGC,OVERALL,0.8076923076923077,0.7448979591836735,0.9358974358974359,0.8295454545454546
roberta-base,NGC,Health,0.6923076923076923,0.631578947368421,0.9230769230769231,0.75
roberta-base,NGC,Politics,0.8269230769230769,0.7575757575757576,0.9615384615384616,0.847457627118644
roberta-base,NGC,War,0.9038461538461539,0.8888888888888888,0.9230769230769231,0.9056603773584906
bert-base-uncased,OVERALL,OVERALL,0.7041800643086816,0.6951219512195121,0.7307692307692307,0.7125
bert-base-uncased,UGC,OVERALL,0.6903225806451613,0.7083333333333334,0.6538461538461539,0.68
bert-base-uncased,UGC,Health,0.6538461538461539,0.625,0.7692307692307693,0.6896551724137931
bert-base-uncased,UGC,Politics,0.7450980392156863,0.8823529411764706,0.5769230769230769,0.6976744186046512
bert-base-uncased,UGC,War,0.6730769230769231,0.6956521739130435,0.6153846153846154,0.6530612244897959
bert-base-uncased,NGC,OVERALL,0.717948717948718,0.6847826086956522,0.8076923076923077,0.7411764705882353
bert-base-uncased,NGC,Health,0.7884615384615384,0.7272727272727273,0.9230769230769231,0.8135593220338984
bert-base-uncased,NGC,Politics,0.6346153846153846,0.6129032258064516,0.7307692307692307,0.6666666666666666
bert-base-uncased,NGC,War,0.7307692307692307,0.7142857142857143,0.7692307692307693,0.7407407407407407
