model,source,domain,accuracy,precision,recall,f1
distilbert-base-uncased,OVERALL,OVERALL,0.7419354838709677,0.7218934911242604,0.7870967741935484,0.7530864197530864
distilbert-base-uncased,UGC,OVERALL,0.7354838709677419,0.7283950617283951,0.7564102564102564,0.7421383647798742
distilbert-base-uncased,UGC,Health,0.7307692307692307,0.6875,0.8461538461538461,0.7586206896551724
distilbert-base-uncased,UGC,Politics,0.7647058823529411,0.85,0.6538461538461539,0.7391304347826086
distilbert-base-uncased,UGC,War,0.7115384615384616,0.6896551724137931,0.7692307692307693,0.7272727272727273
distilbert-base-uncased,NGC,OVERALL,0.7483870967741936,0.7159090909090909,0.8181818181818182,0.7636363636363637
distilbert-base-uncased,NGC,Health,0.8269230769230769,0.7741935483870968,0.9230769230769231,0.8421052631578947
distilbert-base-uncased,NGC,Politics,0.6538461538461539,0.6333333333333333,0.7307692307692307,0.6785714285714286
distilbert-base-uncased,NGC,War,0.7647058823529411,0.7407407407407407,0.8,0.7692307692307693
roberta-base,OVERALL,OVERALL,0.8258064516129032,0.8389261744966443,0.8064516129032258,0.8223684210526315
roberta-base,UGC,OVERALL,0.8,0.8507462686567164,0.7307692307692307,0.7862068965517242
roberta-base,UGC,Health,0.7884615384615384,0.7586206896551724,0.8461538461538461,0.8
roberta-base,UGC,Politics,0.803921568627451,1.0,0.6153846153846154,0.7619047619047619
roberta-base,UGC,War,0.8076923076923077,0.8636363636363636,0.7307692307692307,0.7916666666666666
roberta-base,NGC,OVERALL,0.8516129032258064,0.8292682926829268,0.8831168831168831,0.8553459119496856
roberta-base,NGC,Health,0.8461538461538461,0.78125,0.9615384615384616,0.8620689655172413
roberta-base,NGC,Politics,0.8076923076923077,0.8333333333333334,0.7692307692307693,0.8
roberta-base,NGC,War,0.9019607843137255,0.8846153846153846,0.92,0.9019607843137255
bert-base-uncased,OVERALL,OVERALL,0.7193548387096774,0.7125,0.7354838709677419,0.7238095238095238
bert-base-uncased,UGC,OVERALL,0.7032258064516129,0.7162162162162162,0.6794871794871795,0.6973684210526315
bert-base-uncased,UGC,Health,0.7115384615384616,0.6774193548387096,0.8076923076923077,0.7368421052631579
bert-base-uncased,UGC,Politics,0.7647058823529411,0.8888888888888888,0.6153846153846154,0.7272727272727273
bert-base-uncased,UGC,War,0.6346153846153846,0.64,0.6153846153846154,0.6274509803921569
bert-base-uncased,NGC,OVERALL,0.7354838709677419,0.7093023255813954,0.7922077922077922,0.7484662576687117
bert-base-uncased,NGC,Health,0.7884615384615384,0.7142857142857143,0.9615384615384616,0.819672131147541
bert-base-uncased,NGC,Politics,0.6730769230769231,0.6551724137931034,0.7307692307692307,0.6909090909090909
bert-base-uncased,NGC,War,0.7450980392156863,0.7727272727272727,0.68,0.723404255319149
