dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.7677419354838709,0.7693273092369477,0.767982017982018,0.7675000000000001,0.5356964553170245,0.5373076430760473,0.7469879518072289,0.8051948051948052,0.775,0.7916666666666666,0.7307692307692307,0.76,0.7675000000000001,0.7674516129032258,155,"[[62, 15], [21, 57]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.8469387755102041,0.8524509803921569,0.8185644661054498,0.8299201666088164,0.6617579383341003,0.6701592598687861,0.8382352941176471,0.9344262295081968,0.8837209302325582,0.8666666666666667,0.7027027027027027,0.7761194029850746,0.8299201666088164,0.843095863822794,98,"[[57, 4], [11, 26]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.7483870967741936,0.7886022333461686,0.7495837495837496,0.7398993158642055,0.49796528527530937,0.5367696993563665,0.6792452830188679,0.935064935064935,0.7868852459016393,0.8979591836734694,0.5641025641025641,0.6929133858267716,0.7398993158642055,0.739596180831706,155,"[[72, 5], [34, 44]]"
NGC,Model,1,0.8255813953488372,0.8427495291902072,0.8033333333333332,0.8121450415028397,0.6286701208981003,0.6448793908559838,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.7966101694915254,0.94,0.8623853211009175,0.8121450415028397,0.8203236916699687,86,"[[24, 12], [3, 47]]"
UGC,Model,2,0.7677419354838709,0.7722278566599053,0.7681485181485181,0.7669562312061478,0.535850939943437,0.5403609769852032,0.735632183908046,0.8311688311688312,0.7804878048780488,0.8088235294117647,0.7051282051282052,0.7534246575342466,0.7669562312061478,0.766868930730845,155,"[[64, 13], [23, 55]]"
NGC,Model,2,0.7976190476190477,0.7976190476190477,0.7977878615995462,0.7975903614457831,0.5952380952380952,0.5954068852869262,0.8095238095238095,0.7906976744186046,0.8,0.7857142857142857,0.8048780487804879,0.7951807228915663,0.7975903614457831,0.797647733792312,84,"[[34, 9], [8, 33]]"
UGC,Model,3,0.7677419354838709,0.7766998626373627,0.7683150183150182,0.7660965794768612,0.5360053218027607,0.5449503783329525,0.7252747252747253,0.8571428571428571,0.7857142857142857,0.828125,0.6794871794871795,0.7464788732394366,0.7660965794768612,0.7659700136301681,155,"[[66, 11], [25, 53]]"
NGC,Model,3,0.8717948717948718,0.9032131661442007,0.8266666666666667,0.8483539272444482,0.7010730710270823,0.7258548090091815,0.8409090909090909,0.9866666666666667,0.9079754601226994,0.9655172413793104,0.6666666666666666,0.7887323943661971,0.8483539272444482,0.8651702570306217,117,"[[74, 1], [14, 28]]"
UGC,Model,4,0.8774193548387097,0.8854273067756214,0.876956376956377,0.8766802060215233,0.7546037830180818,0.7623366215581993,0.9393939393939394,0.8051948051948052,0.8671328671328671,0.8314606741573034,0.9487179487179487,0.8862275449101796,0.8766802060215233,0.8767418017562888,155,"[[62, 15], [4, 74]]"
NGC,Model,4,0.76,0.79,0.757823613086771,0.7525659824046921,0.5178571428571429,0.5468778576434178,0.88,0.5945945945945946,0.7096774193548387,0.7,0.9210526315789473,0.7954545454545454,0.7525659824046921,0.7531378299120235,75,"[[22, 15], [3, 35]]"
