dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.704225352112676,0.7182531269874921,0.704225352112676,0.6993951612903226,0.4084507042253521,0.42224552908805635,0.7735849056603774,0.5774647887323944,0.6612903225806451,0.6629213483146067,0.8309859154929577,0.7375,0.6993951612903226,0.6993951612903225,142,"[[41, 30], [12, 59]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.832258064516129,0.846774193548387,0.8329170829170829,0.830672268907563,0.6649484536082474,0.6795500068340901,0.7741935483870968,0.935064935064935,0.8470588235294118,0.9193548387096774,0.7307692307692307,0.8142857142857143,0.830672268907563,0.8305665492003252,155,"[[72, 5], [21, 57]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.8092105263157895,0.8160511363636364,0.8082251082251082,0.8078046653586222,0.6176266481609993,0.6242271884830082,0.7727272727272727,0.8831168831168831,0.8242424242424242,0.859375,0.7333333333333333,0.7913669064748201,0.8078046653586222,0.8080209516597249,152,"[[68, 9], [20, 55]]"
NGC,Model,1,0.8562091503267973,0.8580246913580247,0.8569230769230769,0.8561538461538462,0.7127496159754225,0.7149469195791842,0.8271604938271605,0.8933333333333333,0.8589743589743589,0.8888888888888888,0.8205128205128205,0.8533333333333334,0.8561538461538462,0.8560985419808949,153,"[[67, 8], [14, 64]]"
UGC,Model,2,0.8083333333333333,0.8089543937708565,0.8086968602389553,0.8083200222237655,0.6168795113825652,0.6176512003197054,0.8275862068965517,0.7868852459016393,0.8067226890756303,0.7903225806451613,0.8305084745762712,0.8099173553719008,0.8083200222237655,0.8082934000046299,120,"[[48, 13], [10, 49]]"
NGC,Model,2,0.8187919463087249,0.828605858361142,0.8193693693693693,0.81760892233758,0.6379915414379556,0.6479093941466761,0.7701149425287356,0.9054054054054054,0.8322981366459627,0.8870967741935484,0.7333333333333333,0.8029197080291971,0.81760892233758,0.8175103370066512,149,"[[67, 7], [20, 55]]"
UGC,Model,3,0.75177304964539,0.7558641975308642,0.7503019323671498,0.7499620003039975,0.5019679079624584,0.5061355670788031,0.7283950617283951,0.8194444444444444,0.7712418300653595,0.7833333333333333,0.6811594202898551,0.7286821705426356,0.7499620003039975,0.7504147626393457,141,"[[59, 13], [22, 47]]"
NGC,Model,3,0.8496732026143791,0.8512538646513226,0.8494531784005468,0.849441663457836,0.6992050602615608,0.700704729334347,0.8292682926829268,0.8831168831168831,0.8553459119496856,0.8732394366197183,0.8157894736842105,0.8435374149659864,0.849441663457836,0.84948025331726,153,"[[68, 9], [14, 62]]"
UGC,Model,4,0.7816901408450704,0.7993589743589744,0.778141751042287,0.7768088019064037,0.5600639616230262,0.5771108362123457,0.8653846153846154,0.6521739130434783,0.743801652892562,0.7333333333333333,0.9041095890410958,0.8098159509202454,0.7768088019064037,0.777738580751864,142,"[[45, 24], [7, 66]]"
NGC,Model,4,0.7857142857142857,0.7879687765145087,0.7862685560053981,0.7854881600607826,0.5718618365627632,0.5742348154803908,0.8169014084507042,0.7435897435897436,0.7785234899328859,0.7590361445783133,0.8289473684210527,0.7924528301886793,0.7854881600607826,0.7853977097993814,154,"[[58, 20], [13, 63]]"
