dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.7913043478260869,0.7958656330749354,0.7806372549019608,0.7841051314142677,0.5703611457036115,0.5763017233567175,0.813953488372093,0.6862745098039216,0.7446808510638298,0.7777777777777778,0.875,0.8235294117647058,0.7841051314142677,0.788561789193013,115,"[[35, 16], [8, 56]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.7463768115942029,0.784438775510204,0.7349841938883035,0.7309941520467835,0.48008611410118407,0.5170633089819522,0.6938775510204082,0.9315068493150684,0.7953216374269005,0.875,0.5384615384615384,0.6666666666666666,0.7309941520467835,0.7347232816340367,138,"[[68, 5], [30, 35]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.7786259541984732,0.7809290382819795,0.7833097928436912,0.7784193642461359,0.5589225589225589,0.5642338084143664,0.7205882352941176,0.8305084745762712,0.7716535433070866,0.8412698412698413,0.7361111111111112,0.7851851851851852,0.7784193642461359,0.7790907815912324,131,"[[49, 10], [19, 53]]"
NGC,Model,1,0.905511811023622,0.9081684424150178,0.9020489755122438,0.9041750503018109,0.8085427135678392,0.8101943078284028,0.9259259259259259,0.8620689655172413,0.8928571428571429,0.8904109589041096,0.9420289855072463,0.9154929577464789,0.9041750503018109,0.9051553414978057,127,"[[50, 8], [4, 65]]"
UGC,Model,2,0.8252427184466019,0.8217938630999213,0.8170542635658915,0.8190866510538641,0.6383144752243464,0.6388305449340032,0.8048780487804879,0.7674418604651163,0.7857142857142857,0.8387096774193549,0.8666666666666667,0.8524590163934426,0.8190866510538641,0.8245947113526295,103,"[[33, 10], [8, 52]]"
NGC,Model,2,0.8064516129032258,0.8092948717948718,0.8025078369905956,0.8039525691699605,0.6088328075709779,0.611765061633795,0.8269230769230769,0.7413793103448276,0.7818181818181819,0.7916666666666666,0.8636363636363636,0.8260869565217391,0.8039525691699605,0.8053805941603978,124,"[[43, 15], [9, 57]]"
UGC,Model,3,0.75,0.7524590163934426,0.7529868578255675,0.749981419546637,0.5017772511848342,0.505445598604283,0.7049180327868853,0.7962962962962963,0.7478260869565218,0.8,0.7096774193548387,0.7521367521367521,0.749981419546637,0.7501300631735414,116,"[[43, 11], [18, 44]]"
NGC,Model,3,0.7902097902097902,0.8229024943310658,0.7796543597800472,0.7798645320197044,0.5703985579811737,0.6010027964112463,0.7346938775510204,0.9473684210526315,0.8275862068965517,0.9111111111111111,0.6119402985074627,0.7321428571428571,0.7798645320197044,0.7828679940748906,143,"[[72, 4], [26, 41]]"
UGC,Model,4,0.7769230769230769,0.8113553113553114,0.763095238095238,0.7634732417341112,0.5396825396825398,0.5724197752462528,0.8974358974358975,0.5833333333333334,0.7070707070707071,0.7252747252747253,0.9428571428571428,0.8198757763975155,0.7634732417341112,0.7678118982466807,130,"[[35, 25], [4, 66]]"
NGC,Model,4,0.7218045112781954,0.7745098039215685,0.7095238095238094,0.6998108948941621,0.42891957757920385,0.4796512894563343,0.8823529411764706,0.47619047619047616,0.6185567010309279,0.6666666666666666,0.9428571428571428,0.7810650887573964,0.6998108948941621,0.7040874314132798,133,"[[30, 33], [4, 66]]"
