dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.632258064516129,0.6777188328912467,0.6338661338661339,0.6087418626278729,0.2668658202638785,0.30848360134277936,0.5862068965517241,0.8831168831168831,0.7046632124352331,0.7692307692307693,0.38461538461538464,0.5128205128205128,0.6087418626278729,0.608123015209761,155,"[[68, 9], [48, 30]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.7870967741935484,0.8096133190118153,0.787962037962038,0.7834920634920635,0.5749189728247319,0.5971829948109135,0.7244897959183674,0.922077922077922,0.8114285714285714,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.7834920634920635,0.7833118279569892,155,"[[71, 6], [27, 51]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.7032258064516129,0.7590602612726507,0.7047119547119547,0.687280701754386,0.4082005312084994,0.4605767361615826,0.6371681415929203,0.935064935064935,0.7578947368421053,0.8809523809523809,0.47435897435897434,0.6166666666666667,0.687280701754386,0.6868251273344652,155,"[[72, 5], [41, 37]]"
NGC,Model,1,0.7935483870967742,0.8100877192982456,0.7942890442890442,0.7910347152005393,0.5876974231088944,0.6041702361356446,0.7368421052631579,0.9090909090909091,0.813953488372093,0.8833333333333333,0.6794871794871795,0.7681159420289855,0.7910347152005393,0.7908868521478195,155,"[[70, 7], [25, 53]]"
UGC,Model,2,0.6838709677419355,0.7382327770646128,0.6853979353979354,0.6658453957499231,0.3696572329653913,0.4203230424894444,0.6228070175438597,0.922077922077922,0.743455497382199,0.8536585365853658,0.44871794871794873,0.5882352941176471,0.6658453957499231,0.6653446854168116,155,"[[71, 6], [43, 35]]"
NGC,Model,2,0.7806451612903226,0.8004799146818343,0.7814685314685315,0.7772988505747127,0.562001329787234,0.5816378265597434,0.7216494845360825,0.9090909090909091,0.8045977011494253,0.8793103448275862,0.6538461538461539,0.75,0.7772988505747127,0.7771227289581016,155,"[[70, 7], [27, 51]]"
UGC,Model,3,0.7096774193548387,0.7713949507916131,0.7112054612054612,0.6931233226274803,0.4211137853763798,0.47883231198730153,0.6403508771929824,0.948051948051948,0.7643979057591623,0.9024390243902439,0.47435897435897434,0.6218487394957983,0.6931233226274803,0.692663486607276,155,"[[73, 4], [41, 37]]"
NGC,Model,3,0.8,0.8088083791208791,0.7994505494505495,0.7983549456544546,0.5995499624968748,0.6081869410064008,0.7582417582417582,0.8846153846153846,0.8165680473372781,0.859375,0.7142857142857143,0.7801418439716312,0.7983549456544546,0.7984724495362793,155,"[[69, 9], [22, 55]]"
UGC,Model,4,0.7419354838709677,0.7843652647975078,0.7431734931734932,0.7325741890959283,0.48513535957482146,0.5259281121142522,0.6728971962616822,0.935064935064935,0.782608695652174,0.8958333333333334,0.5512820512820513,0.6825396825396826,0.7325741890959283,0.7322513858278235,155,"[[72, 5], [35, 43]]"
NGC,Model,4,0.7612903225806451,0.7780838961962318,0.7604895104895104,0.7572486772486773,0.5218043858917703,0.5382859388658495,0.711340206185567,0.8846153846153846,0.7885714285714286,0.8448275862068966,0.6363636363636364,0.725925925925926,0.7572486772486773,0.7574507595152756,155,"[[69, 9], [28, 49]]"
