model,source,domain,accuracy,f1
Llama4b,UGC,OVERALL,0.574,0.475
Llama4b,UGC,Health,0.6193181818181818,0.61722985
Llama4b,UGC,Politics,0.5957446808510638,0.556383507
Llama4b,UGC,War,0.5637583892617449,0.5586694
Llama4b,NGC,OVERALL,0.651,0.601
Llama4b,NGC,Health,0.771428571,0.77096688
Llama4b,NGC,Politics,0.725738397,0.72289677
Llama4b,NGC,War,0.714285714,0.71316527
Llama70b,UGC,OVERALL,0.786,0.783
Llama70b,UGC,Health,0.7730769230769231,0.772992971
Llama70b,UGC,Politics,0.8666666666666667,0.8651549085479657
Llama70b,UGC,War,0.7192307692307692,0.7187273077550053
Llama70b,NGC,OVERALL,0.82,0.808
Llama70b,NGC,Health,0.805447471,0.805090402
Llama70b,NGC,Politics,0.87394958,0.865394767
Llama70b,NGC,War,0.821428571,0.806955722
Gemma4b,UGC,OVERALL,0.631,0.573
Gemma4b,UGC,Health,0.606425703,0.559848485
Gemma4b,UGC,Politics,0.806451613,0.801798202
Gemma4b,UGC,War,0.715953307,0.695897428
Gemma4b,NGC,OVERALL,0.649,0.573
Gemma4b,NGC,Health,0.787148594,0.780915384
Gemma4b,NGC,Politics,0.696153846,0.695392327
Gemma4b,NGC,War,0.750988142,0.743221691
Gemma27b,UGC,OVERALL,0.697,0.226
Gemma27b,UGC,Health,0.8,0.8
Gemma27b,UGC,Politics,0.8588235294117647,0.8584556556062661
Gemma27b,UGC,War,0.7884615384615384,0.7880822181715793
Gemma27b,NGC,OVERALL,0.701,0.76554
Gemma27b,NGC,Health,0.875486381,0.875484496
Gemma27b,NGC,Politics,0.767241379,0.751724138
Gemma27b,NGC,War,0.782945736,0.782932692
Mistral7b,UGC,OVERALL,0.771,0.768
Mistral7b,UGC,Health,0.745454545,0.74441955
Mistral7b,UGC,Politics,0.806866953,0.80685272
Mistral7b,UGC,War,0.758196721,0.75816016
Mistral7b,NGC,OVERALL,0.829,0.828
Mistral7b,NGC,Health,0.864541833,0.864177489
Mistral7b,NGC,Politics,0.805447471,0.803276179
Mistral7b,NGC,War,0.81640625,0.815593054
Mixtral7b,UGC,OVERALL,0.784,0.779
Mixtral7b,UGC,Health,0.761904762,0.754215831
Mixtral7b,UGC,Politics,0.833333333,0.827993728
Mixtral7b,UGC,War,0.75210084,0.751359008
Mixtral7b,NGC,OVERALL,0.794,0.784
Mixtral7b,NGC,Health,0.853174603,0.8517152
Mixtral7b,NGC,Politics,0.752066116,0.75068681
Mixtral7b,NGC,War,0.760233918,0.75993837
