model,source,domain,accuracy,f1
Llama4b,UGC,OVERALL,0.555,0.468
Llama4b,UGC,Health,0.634615385,0.58611907
Llama4b,UGC,Politics,0.525490196,0.40167543
Llama4b,UGC,War,0.603846154,0.54572442
Llama4b,NGC,OVERALL,0.61,0.557
Llama4b,NGC,Health,0.712062257,0.702098997
Llama4b,NGC,Politics,0.661538462,0.628064243
Llama4b,NGC,War,0.670542636,0.654857646
Llama70b,UGC,OVERALL,0.666,0.619
Llama70b,UGC,Health,0.75,0.743624752
Llama70b,UGC,Politics,0.717647059,0.698026316
Llama70b,UGC,War,0.665384615,0.63842133
Llama70b,NGC,OVERALL,0.704,0.662
Llama70b,NGC,Health,0.821011673,0.821008963
Llama70b,NGC,Politics,0.846153846,0.845238095
Llama70b,NGC,War,0.775193798,0.775139749
Gemma4b,UGC,OVERALL,0.51,0.36
Gemma4b,UGC,Health,0.542056075,0.360609756
Gemma4b,UGC,Politics,0.528037383,0.345565749
Gemma4b,UGC,War,0.483471074,0.325905292
Gemma4b,NGC,OVERALL,0.48,0.344
Gemma4b,NGC,Health,0.460829493,0.315457413
Gemma4b,NGC,Politics,0.461928934,0.315972222
Gemma4b,NGC,War,0.497716895,0.332317073
Gemma27b,UGC,OVERALL,0.76,0.754
Gemma27b,UGC,Health,0.784615385,0.779914142
Gemma27b,UGC,Politics,0.780392157,0.772669384
Gemma27b,UGC,War,0.730769231,0.724242424
Gemma27b,NGC,OVERALL,0.829,0.825
Gemma27b,NGC,Health,0.883268482,0.88325742
Gemma27b,NGC,Politics,0.796153846,0.79194033
Gemma27b,NGC,War,0.817294574,0.817211595
Mistral7b,UGC,OVERALL,0.694,0.678
Mistral7b,UGC,Health,0.719230769,0.711335189
Mistral7b,UGC,Politics,0.68627451,0.664473684
Mistral7b,UGC,War,0.676923077,0.654670799
Mistral7b,NGC,OVERALL,0.785,0.781
Mistral7b,NGC,Health,0.805447471,0.804378273
Mistral7b,NGC,Politics,0.738461538,0.730010384
Mistral7b,NGC,War,0.810077519,0.808277347
Mixtral7b,UGC,OVERALL,0.654,0.608
Mixtral7b,UGC,Health,0.692307692,0.68559163
Mixtral7b,UGC,Politics,0.784313725,0.77829943
Mixtral7b,UGC,War,0.765384615,0.75998426
Mixtral7b,NGC,OVERALL,0.684,640
Mixtral7b,NGC,Health,0.832684825,0.830674941
Mixtral7b,NGC,Politics,0.773076923,0.764720318
Mixtral7b,NGC,War,0.794573643,0.790259989
