id,claim,domain,structure,label,Topic
20000,People of Color Face Heightened Risks as COVID-19 Surges Again,1,NGC,1,Covid
20001,"Nearly 20% of People Have Used Bleach on Food Due to COVID-19, report finds.",1,NGC,1,Covid
20002,"Hot Weather May Make It Harder for the Coronavirus to Survive on Surfaces, study shows.",1,NGC,1,Covid
20003,"Wearing a Mask Can Help Us Get Out of Lockdown Safely, studies confirm",1,NGC,1,Covid
20004,"High Blood Pressure Meds Don't Increase COVID-19 Risks, Study Finds",1,NGC,1,Covid
20005,Levels of SARS-CoV-2 RNA in Sewage Rose With COVID-19 Cases in Dutch Cities,1,NGC,1,Covid
20006,"For some cases of long Covid, a new study suggests serotonin reduction is triggered by remnants of the coronavirus lingering in the gut. Depleted serotonin could especially explain memory problems and some neurological and cognitive symptoms, experts say.",1,NGC,1,Covid
20007,"Antiviral Drug Can Speed Up Recovery of COVID-19 Patients, Study Shows",1,NGC,1,Covid
20008,"Coronavirus SARS-CoV-2 Infects Cells of the Intestine, study finds.",1,NGC,1,Covid
20009,Studies indicate COPD and Smoking Associated With Higher COVID-19 Mortality,1,NGC,1,Covid
20010,New findings suggest Black people four times as likely to test positive for COVID-19,1,NGC,1,Covid
20011,"Latinx people more vulnerable to COVID-19, US study finds",1,NGC,1,Covid
20012,Donald Trump Says He's Taking Hydroxychloroquine to Prevent Coronavirus in Press Conference,1,NGC,1,Covid
20013,Risk of Death from COVID-19 Four Times Greater for Those with Diabetes,1,NGC,1,Covid
20014,Research illustrates a clear correlation between vitamin D deficiencies and (higher) COVID-19 mortality rates.,1,NGC,1,Covid
20015,Data shows number of COVID-19 deaths recorded so far in 2021 has surpassed the total for 2020.,1,NGC,1,Covid
20016,"Loss of smell may suggest milder COVID-19, study finds",1,NGC,1,Covid
20017,BREAKING: Supermarkets are recalling coronavirus-infected toilet paper.,1,NGC,0,Covid
20018,Claim that Dr. Anthony Fauci's statement that the coronavirus death rate is 10 times that of the seasonal flu is a claim without any scientific basis.,1,NGC,0,Covid
20019,Fox News wins Pulitzer for coronavirus coverage.,1,NGC,0,Covid
20020,CDC says Coronavirus can survive on surfaces for up to 17 days.,1,NGC,0,Covid
20021,FDA: Coronavirus found in crab legs.,1,NGC,0,Covid
20022,Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,1,NGC,0,Covid
20023,New data shows that 21 million Chinese died from the coronavirus.,1,NGC,0,Covid
20024,BREAKING: CDC admits to lying about COVID-19 death stats.,1,NGC,0,Covid
20025,Pentagon CONFIRMS coronavirus accidentally got into chemtrail supply train.,1,NGC,0,Covid
20026,News report accidentally reveals doctors giving ‘banned’ COVID treatment to the Queen.”,1,NGC,0,Covid
20027,Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.,1,NGC,0,Covid
20028,Goodwill Industries International fires all employees due to coronavirus pandemic.,1,NGC,0,Covid
20029,"A large, country-randomized controlled trial with 2.7 billion people shows that COVID-19 patients treated with hydroxychloroquine have a 79.1% lower death rate",1,NGC,0,Covid
20030,Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,1,NGC,0,Covid
20031,"Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths.",1,NGC,0,Covid
20032,The Governor of Maine has ordered restaurant staff to wear dog cone-style face visors as a precautionary measure against COVID-19.,1,NGC,0,Covid
20033,The U.S. CDC quietly updated their numbers in August to show that only 6% of all coronavirus deaths were completely due to the coronavirus alone,1,NGC,0,Covid
20034,Florida Surgeon General sends out letter supproting parents sending unvaccinated children to school during the outbreak and does not recommend vaccination.,1,NGC,1,Vaccines
20035,More than a third of the dog owners surveyed believe canine vaccination can cause autism in pets.,1,NGC,1,Vaccines
20036,Nine African countries to receive Malaria vaccine for the first time.  A total of 12 countries will receive 18 million doses of the malaria vaccine over the next two years. This is after the groundbreaking vaccine was recommended by the WHO in 2021,1,NGC,1,Vaccines
20037,Florida vaccination rates fall DRASTICALLY,1,NGC,1,Vaccines
20038,Studies Find Detection of Messenger RNA COVID-19 Vaccines in Human Breast Milk ,1,NGC,1,Vaccines
20039,WHO warns of declining global vaccination rates: Coverage dropped from 86% to 81% in past year. Urges renewed focus on equity.,1,NGC,1,Vaccines
20040,"FACT CHECK: Before 1963 measles vaccine, disease killed hundreds of US children yearly. Vaccine nearly eliminated domestic measles. Recent outbreaks tied to declining vaccination rates",1,NGC,1,Vaccines
20041,STUDY: Risk of heart inflammation HIGHER from COVID infection than from vaccine. Myocarditis rates after vaccination now far below 2021 peaks.,1,NGC,1,Vaccines
20042,Myocarditis risk after COVID infection exceeds post-vaccine risk.,1,NGC,1,Vaccines
20043,7 large observational studies found no increased risk of miscarriage or stillbirth with COVID vaccination during pregnancy. ,1,NGC,1,Vaccines
20044,"COVID mRNA vaccines do NOT cause cancer or make cancer return. No scientific evidence suggests ANY vaccine causes cancer. In fact, some vaccines (like HPV & Hepatitis B) help prevent cancer.",1,NGC,1,Vaccines
20045,Consistent evidence supports that COVID-19 vaccination received before SARS-CoV-2 infection reduces the risk of experiencing long COVID,1,NGC,1,Vaccines
20046,GAME CHANGER: Multiple studies prove COVID vaccination BEFORE infection significantly reduces Long COVID risk.,1,NGC,1,Vaccines
20047,MEASLES ALERT: Florida health officials confirm 10 measles cases reported last month. Measles is highly contagious and preventable through vaccination. ,1,NGC,1,Vaccines
