dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.66,0.8023255813953488,0.6458333333333334,0.6026180458158018,0.29983525535420097,0.4199483172335458,1.0,0.2916666666666667,0.45161290322580644,0.6046511627906976,1.0,0.7536231884057971,0.6026180458158018,0.6086582515194016,150,"[[21, 51], [0, 78]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.8387096774193549,0.8454884667571234,0.8391608391608392,0.8380355276907001,0.6777010729435249,0.684620064870254,0.7954545454545454,0.9090909090909091,0.8484848484848485,0.8955223880597015,0.7692307692307693,0.8275862068965517,0.8380355276907001,0.8379681127178346,155,"[[70, 7], [18, 60]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.722972972972973,0.7299242424242425,0.7217351598173516,0.7200977904884911,0.44452581471988284,0.4515851575941037,0.7666666666666667,0.6301369863013698,0.6917293233082706,0.6931818181818182,0.8133333333333334,0.7484662576687117,0.7200977904884911,0.7204811481530887,148,"[[46, 27], [14, 61]]"
NGC,Model,1,0.6838709677419355,0.7776930894308943,0.681984681984682,0.6533388105344835,0.36533801286872225,0.44960377475917684,0.9375,0.38961038961038963,0.5504587155963303,0.6178861788617886,0.9743589743589743,0.7562189054726368,0.6533388105344835,0.6540025530824717,155,"[[30, 47], [2, 76]]"
UGC,Model,2,0.7581699346405228,0.7895145631067961,0.7548717948717949,0.7497900552486187,0.5130322580645161,0.5432829698805316,0.88,0.5866666666666667,0.704,0.6990291262135923,0.9230769230769231,0.7955801104972375,0.7497900552486187,0.7506878994691798,153,"[[44, 31], [6, 72]]"
NGC,Model,2,0.7254901960784313,0.7267080745341614,0.7246153846153847,0.724537037037037,0.4499229583975347,0.45131860744668606,0.7391304347826086,0.68,0.7083333333333334,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.724537037037037,0.7248547567175018,153,"[[51, 24], [18, 60]]"
UGC,Model,3,0.7290322580645161,0.7762626262626262,0.7276889776889777,0.7161667247994419,0.45659432387312193,0.5016052429845984,0.8888888888888888,0.5194805194805194,0.6557377049180327,0.6636363636363637,0.9358974358974359,0.776595744680851,0.7161667247994419,0.716556589443838,155,"[[40, 37], [5, 73]]"
NGC,Model,3,0.7483870967741936,0.7555803571428572,0.7478354978354979,0.7463175122749591,0.4962080173347778,0.5033562756119142,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.796875,0.6623376623376623,0.723404255319149,0.7463175122749591,0.7464653397391902,155,"[[65, 13], [26, 51]]"
UGC,Model,4,0.6756756756756757,0.7730138713745272,0.6586080586080586,0.63,0.32778198334595,0.4161836138618817,0.9230769230769231,0.34285714285714286,0.5,0.6229508196721312,0.9743589743589743,0.76,0.63,0.6370270270270271,148,"[[24, 46], [2, 76]]"
NGC,Model,4,0.7222222222222222,0.7777195281782437,0.7053692576080636,0.6963946869070208,0.42388477695539106,0.4776402551093349,0.8857142857142857,0.4626865671641791,0.6078431372549019,0.6697247706422018,0.948051948051948,0.7849462365591398,0.6963946869070208,0.7025441000773068,144,"[[31, 36], [4, 73]]"
