dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.5416666666666666,0.5631578947368421,0.5416666666666667,0.4990512333965844,0.08333333333333337,0.10259783520851541,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6,0.25,0.35294117647058826,0.4990512333965844,0.4990512333965844,24,"[[10, 2], [9, 3]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.7553956834532374,0.757040773434216,0.7535240464344942,0.7538541666666667,0.5086296527344563,0.5105527082670094,0.7704918032786885,0.7014925373134329,0.734375,0.7435897435897436,0.8055555555555556,0.7733333333333333,0.7538541666666667,0.754554856115108,139,"[[47, 20], [14, 58]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.5704225352112676,0.6292307692307693,0.575,0.5224654060312035,0.14861411440927852,0.19689903699416808,0.5384615384615384,0.9,0.6737967914438503,0.72,0.25,0.3711340206185567,0.5224654060312035,0.5203339780676451,142,"[[63, 7], [54, 18]]"
NGC,Model,1,0.7972972972972973,0.8050420168067227,0.7983561643835616,0.7963676389653275,0.5954073264078732,0.6033611393196606,0.7529411764705882,0.8767123287671232,0.810126582278481,0.8571428571428571,0.72,0.782608695652174,0.7963676389653275,0.7961817072989336,148,"[[64, 9], [21, 54]]"
UGC,Model,2,0.6218487394957983,0.6218202374222725,0.6217514124293786,0.6217418944691673,0.24353722277157785,0.24357164012785978,0.6206896551724138,0.6101694915254238,0.6153846153846154,0.6229508196721312,0.6333333333333333,0.628099173553719,0.6217418944691673,0.6217953169824827,119,"[[36, 23], [22, 38]]"
NGC,Model,2,0.6597222222222222,0.6622574955908289,0.6597222222222222,0.6583877995642702,0.3194444444444444,0.3219697362671195,0.6419753086419753,0.7222222222222222,0.6797385620915033,0.6825396825396826,0.5972222222222222,0.6370370370370371,0.6583877995642702,0.6583877995642702,144,"[[52, 20], [29, 43]]"
UGC,Model,3,0.6014492753623188,0.6025531001930916,0.6004201680672269,0.5989008085398722,0.20122079562197426,0.20296206105777914,0.5949367088607594,0.6714285714285714,0.6308724832214765,0.6101694915254238,0.5294117647058824,0.5669291338582677,0.5989008085398722,0.5993641661439533,138,"[[47, 23], [32, 36]]"
NGC,Model,3,0.7357142857142858,0.7543171114599686,0.7316176470588236,0.7283834093650045,0.4668587896253603,0.4854042890752182,0.6923076923076923,0.875,0.7730061349693251,0.8163265306122449,0.5882352941176471,0.6837606837606838,0.7283834093650045,0.7296583443822708,140,"[[63, 9], [28, 40]]"
UGC,Model,4,0.6046511627906976,0.5880952380952381,0.5822222222222222,0.5820468839336763,0.16837315130830488,0.17021617130444736,0.6428571428571429,0.72,0.6792452830188679,0.5333333333333333,0.4444444444444444,0.48484848484848486,0.5820468839336763,0.5978698791335912,43,"[[18, 7], [10, 8]]"
NGC,Model,4,0.7407407407407407,0.7570588235294118,0.7397936786654961,0.7360482654600302,0.48048378229796584,0.4965524380266085,0.6941176470588235,0.8676470588235294,0.7712418300653595,0.82,0.6119402985074627,0.7008547008547008,0.7360482654600302,0.7363089585311808,135,"[[59, 9], [26, 41]]"
