dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.5806451612903226,0.7380952380952381,0.5832500832500832,0.500768049155146,0.16563146997929612,0.28157733142337266,0.5428571428571428,0.987012987012987,0.7004608294930875,0.9333333333333333,0.1794871794871795,0.3010752688172043,0.500768049155146,0.49947970863683655,155,"[[76, 1], [64, 14]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.6903225806451613,0.7593342330184436,0.691974691974692,0.6693921080696765,0.38267507467640227,0.44625378206670113,0.6239316239316239,0.948051948051948,0.7525773195876289,0.8947368421052632,0.4358974358974359,0.5862068965517241,0.6693921080696765,0.6688554292856896,155,"[[73, 4], [44, 34]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.5741935483870968,0.7337892603850051,0.5768398268398268,0.4899282010370961,0.1528651871480622,0.2680621292536115,0.5390070921985816,0.987012987012987,0.6972477064220184,0.9285714285714286,0.16666666666666666,0.2826086956521739,0.4899282010370961,0.48859065584106437,155,"[[76, 1], [65, 13]]"
NGC,Model,1,0.6967741935483871,0.754813863928113,0.6983016983016983,0.6794843591887016,0.39538550917088555,0.44957767723837294,0.631578947368421,0.935064935064935,0.7539267015706806,0.8780487804878049,0.46153846153846156,0.6050420168067226,0.6794843591887016,0.6790040860120437,155,"[[72, 5], [42, 36]]"
UGC,Model,2,0.5870967741935483,0.683526999316473,0.5894105894105894,0.5276190476190477,0.17799138216771615,0.2561972457435301,0.5488721804511278,0.948051948051948,0.6952380952380952,0.8181818181818182,0.23076923076923078,0.36,0.5276190476190477,0.5265376344086021,155,"[[73, 4], [60, 18]]"
NGC,Model,2,0.6258064516129033,0.6522736338252892,0.6271228771228772,0.6102150537634409,0.25357024244437065,0.2782621960800728,0.5871559633027523,0.8311688311688312,0.6881720430107527,0.717391304347826,0.4230769230769231,0.532258064516129,0.6102150537634409,0.6097121054457162,155,"[[64, 13], [45, 33]]"
UGC,Model,3,0.5806451612903226,0.7711267605633803,0.5833333333333334,0.49445531637312456,0.16576964477933254,0.30062532636898726,0.5422535211267606,1.0,0.7031963470319634,1.0,0.16666666666666666,0.2857142857142857,0.49445531637312456,0.49310860004629337,155,"[[77, 0], [65, 13]]"
NGC,Model,3,0.7225806451612903,0.7885869565217392,0.721028971028971,0.7048403525087463,0.4434237995824635,0.5051181170870133,0.6521739130434783,0.9615384615384616,0.7772020725388601,0.925,0.4805194805194805,0.6324786324786325,0.7048403525087463,0.7053072023153922,155,"[[75, 3], [40, 37]]"
UGC,Model,4,0.6193548387096774,0.7406126482213439,0.6216283716283716,0.5667724667203562,0.2421480069611336,0.34214221953072244,0.5681818181818182,0.974025974025974,0.7177033492822966,0.9130434782608695,0.2692307692307692,0.4158415841584158,0.5667724667203562,0.5657987190909244,155,"[[75, 2], [57, 21]]"
NGC,Model,4,0.6709677419354839,0.714496418036241,0.6694971694971695,0.6522064323111443,0.33998497119479,0.38134779781414485,0.6194690265486725,0.8974358974358975,0.7329842931937173,0.8095238095238095,0.44155844155844154,0.5714285714285714,0.6522064323111443,0.6527275798007094,155,"[[70, 8], [43, 34]]"
