dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.780645161,0.815907394,0.781718282,0.774786325,0.562219638,0.596646924,0.708737864,0.948051948,0.811111111,0.923076923,0.615384615,0.738461538,0.774786325,0.774551971,155,"[[73, 4], [30, 48]]"
UGC,Random,0,0.496774194,0.496575342,0.496586747,0.49625,-0.006828781,-0.006837901,0.493150685,0.467532468,0.48,0.5,0.525641026,0.5125,0.49625,0.496354839,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.503225806,0.251612903,0.5,0.334763948,0,0,0,0,0,0.503225806,1,0.669527897,0.334763948,0.336923716,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.503225806,0.251612903,0.5,0.334763948,0,0,0,0,0,0.503225806,1,0.669527897,0.334763948,0.336923716,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.851612903,0.856252107,0.851981352,0.85121656,0.703435654,0.708220582,0.813953488,0.909090909,0.858895706,0.898550725,0.794871795,0.843537415,0.85121656,0.851167017,155,"[[70, 7], [16, 62]]"
NGC,Random,0,0.483870968,0.483628466,0.483682984,0.483333333,-0.032644903,-0.032688504,0.479452055,0.454545455,0.466666667,0.487804878,0.512820513,0.5,0.483333333,0.48344086,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.496774194,0.248387097,0.5,0.331896552,0,0,0.496774194,1,0.663793103,0,0,0,0.331896552,0.329755284,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.496774194,0.248387097,0.5,0.331896552,0,0,0.496774194,1,0.663793103,0,0,0,0.331896552,0.329755284,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.748387097,0.795409771,0.749667,0.738594595,0.498048659,0.543154016,0.675925926,0.948051948,0.789189189,0.914893617,0.551282051,0.688,0.738594595,0.738268178,155,"[[73, 4], [35, 43]]"
NGC,Model,1,0.825806452,0.835042735,0.826340326,0.824756082,0.651975052,0.661325806,0.777777778,0.909090909,0.838323353,0.892307692,0.743589744,0.811188811,0.824756082,0.824668551,155,"[[70, 7], [20, 58]]"
UGC,Model,2,0.761290323,0.803523296,0.762487512,0.753237812,0.523710655,0.564521302,0.688679245,0.948051948,0.797814208,0.918367347,0.576923077,0.708661417,0.753237812,0.752950223,155,"[[73, 4], [33, 45]]"
NGC,Model,2,0.819354839,0.824628127,0.81976357,0.818743735,0.638995176,0.644373335,0.781609195,0.883116883,0.829268293,0.867647059,0.756410256,0.808219178,0.818743735,0.818675835,155,"[[68, 9], [19, 59]]"
UGC,Model,3,0.75483871,0.781719839,0.755827506,0.749319033,0.510634762,0.536923397,0.693069307,0.909090909,0.786516854,0.87037037,0.602564103,0.712121212,0.749319033,0.749079047,155,"[[70, 7], [31, 47]]"
NGC,Model,3,0.870967742,0.877459294,0.870546121,0.870314592,0.741709715,0.747973468,0.829545455,0.935897436,0.879518072,0.925373134,0.805194805,0.861111111,0.870314592,0.870373969,155,"[[73, 5], [15, 62]]"
UGC,Model,4,0.780645161,0.800479915,0.781468531,0.777298851,0.56200133,0.581637827,0.721649485,0.909090909,0.804597701,0.879310345,0.653846154,0.75,0.777298851,0.777122729,155,"[[70, 7], [27, 51]]"
NGC,Model,4,0.793548387,0.803571429,0.792957043,0.791596639,0.586597766,0.59643403,0.75,0.884615385,0.811764706,0.857142857,0.701298701,0.771428571,0.791596639,0.791726755,155,"[[69, 9], [23, 54]]"
