Model,dataset,condition,accuracy,f1_score
Gemma4b,UGC,ZS,0.51,0.36
Gemma4b,NGC,ZS,0.48,0.344
Gemma27b,UGC,ZS,0.76,0.754
Gemma27b,NGC,ZS,0.829,0.825
Llama4b,UGC,ZS,0.555,0.468
Llama4b,NGC,ZS,0.61,0.557
Llama70b,UGC,ZS,0.666,0.619
Llama70b,NGC,ZS,0.704,0.662
Mistral7b,UGC,ZS,0.694,0.678
Mistral7b,NGC,ZS,0.785,0.781
Mixtral7b,UGC,ZS,0.654,0.608
Mixtral7b,NGC,ZS,0.684,0.64
Gemma4b,UGC,FS,0.631,0.573
Gemma4b,NGC,FS,0.649,0.6
Gemma27b,UGC,FS,0.697,0.226
Gemma27b,NGC,FS,0.701,0.6554
Llama4b,UGC,FS,0.574,0.475
Llama4b,NGC,FS,0.651,0.601
Llama70b,UGC,FS,0.786,0.783
Llama70b,NGC,FS,0.82,0.808
Mistral7b,UGC,FS,0.771,0.768
Mistral7b,NGC,FS,0.829,0.828
Mixtral7b,UGC,FS,0.784,0.779
Mixtral7b,NGC,FS,0.794,0.784
