dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.7741935483870968,0.7779749830966869,0.7738095238095238,0.7732497387669801,0.5480296592518537,0.551768784012522,0.8088235294117647,0.7142857142857143,0.7586206896551724,0.7471264367816092,0.8333333333333334,0.7878787878787878,0.7732497387669801,0.7733441197289918,155,"[[55, 22], [13, 65]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.7938144329896907,0.8209617180205415,0.7923044217687075,0.7887630662020906,0.5863539445628998,0.6125962108791903,0.7301587301587301,0.9387755102040817,0.8214285714285714,0.9117647058823529,0.6458333333333334,0.7560975609756098,0.7887630662020906,0.7890998239879307,97,"[[46, 3], [17, 31]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.8193548387096774,0.8299278846153846,0.8199300699300699,0.818075117370892,0.6391152502910361,0.6497810437274391,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.890625,0.7307692307692307,0.8028169014084507,0.818075117370892,0.8179766772679086,155,"[[70, 7], [21, 57]]"
NGC,Model,1,0.8910891089108911,0.8912584459459459,0.8797131147540984,0.8845714285714286,0.7693585219015985,0.7708851099456602,0.8918918918918919,0.825,0.8571428571428571,0.890625,0.9344262295081968,0.912,0.8845714285714286,0.8902743988684583,101,"[[33, 7], [4, 57]]"
UGC,Model,2,0.8451612903225807,0.8508282623394186,0.8455710955710956,0.8446374874707652,0.6905672932956247,0.6963795142705925,0.8045977011494253,0.9090909090909091,0.8536585365853658,0.8970588235294118,0.782051282051282,0.8356164383561644,0.8446374874707652,0.8445792871538966,155,"[[70, 7], [17, 61]]"
NGC,Model,2,0.8214285714285714,0.8194444444444444,0.8174238067855089,0.8183129055515501,0.6366782006920415,0.6368650457107458,0.8055555555555556,0.7837837837837838,0.7945205479452054,0.8333333333333334,0.851063829787234,0.8421052631578947,0.8183129055515501,0.8211453290761148,84,"[[29, 8], [7, 40]]"
UGC,Model,3,0.8064516129032258,0.8082329317269077,0.8066933066933066,0.80625,0.6130803794308537,0.614924310994768,0.7831325301204819,0.8441558441558441,0.8125,0.8333333333333334,0.7692307692307693,0.8,0.80625,0.8062096774193549,155,"[[65, 12], [18, 60]]"
NGC,Model,3,0.8272727272727273,0.8432062199185486,0.811491935483871,0.8178649237472767,0.6395308727147293,0.6539295671936903,0.7945205479452054,0.9354838709677419,0.8592592592592593,0.8918918918918919,0.6875,0.7764705882352941,0.8178649237472767,0.823133293721529,110,"[[58, 4], [15, 33]]"
UGC,Model,4,0.832258064516129,0.8436853002070394,0.8316683316683318,0.830672268907563,0.6641106851141857,0.6752467108801004,0.9047619047619048,0.7402597402597403,0.8142857142857143,0.782608695652174,0.9230769230769231,0.8470588235294118,0.830672268907563,0.8307779886148007,155,"[[57, 20], [6, 72]]"
NGC,Model,4,0.8,0.812900641025641,0.7689393939393939,0.7788742690058479,0.5634920634920635,0.5801768997837944,0.84375,0.6136363636363636,0.7105263157894737,0.782051282051282,0.9242424242424242,0.8472222222222222,0.7788742690058479,0.7925438596491228,110,"[[27, 17], [5, 61]]"
