dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.5862068965517241,0.6661687826736371,0.5663189269746647,0.5007173601147776,0.13781356457107463,0.20995366501780208,0.5631067961165048,0.9508196721311475,0.7073170731707317,0.7692307692307693,0.18181818181818182,0.29411764705882354,0.5007173601147776,0.5114035521693958,116,"[[58, 3], [45, 10]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.77,0.7769230769230769,0.7556818181818181,0.7593890574327858,0.5228215767634855,0.5321811563901744,0.7538461538461538,0.875,0.8099173553719008,0.8,0.6363636363636364,0.7088607594936709,0.7593890574327858,0.7654524531854796,100,"[[49, 7], [16, 28]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.6203703703703703,0.7908163265306123,0.5980392156862745,0.5316763617133792,0.20474137931034486,0.33770640835983395,0.5816326530612245,1.0,0.7354838709677419,1.0,0.19607843137254902,0.32786885245901637,0.5316763617133792,0.5429990011163993,108,"[[57, 0], [41, 10]]"
NGC,Model,1,0.7549019607843137,0.7790178571428572,0.741779497098646,0.7417721518987341,0.49504950495049516,0.5194643286368829,0.7142857142857143,0.9090909090909091,0.8,0.84375,0.574468085106383,0.6835443037974683,0.7417721518987341,0.7463390419458923,102,"[[50, 5], [20, 27]]"
UGC,Model,2,0.6306306306306306,0.7574568288854003,0.606910039113429,0.5540421362077412,0.22377622377622364,0.33181151062708797,0.5918367346938775,0.9830508474576272,0.7388535031847133,0.9230769230769231,0.23076923076923078,0.36923076923076925,0.5540421362077412,0.565696907098181,111,"[[58, 1], [40, 12]]"
NGC,Model,2,0.7289719626168224,0.7439583333333333,0.7076241134751773,0.7090482887951243,0.4301193755739211,0.45011835191742683,0.7066666666666667,0.8833333333333333,0.7851851851851852,0.78125,0.5319148936170213,0.6329113924050633,0.7090482887951243,0.7182985659266271,107,"[[53, 7], [22, 25]]"
UGC,Model,3,0.6283185840707964,0.7058252427184466,0.5679487179487179,0.5129310344827587,0.15159099034680013,0.23652113109996867,0.6116504854368932,0.9692307692307692,0.75,0.8,0.16666666666666666,0.27586206896551724,0.5129310344827587,0.5485962770826975,113,"[[63, 2], [40, 8]]"
NGC,Model,3,0.7523809523809524,0.7780393835616438,0.737390350877193,0.7375,0.4876126126126127,0.513824354507947,0.7123287671232876,0.9122807017543859,0.8,0.84375,0.5625,0.675,0.7375,0.7428571428571429,105,"[[52, 5], [21, 27]]"
UGC,Model,4,0.625,0.7533333333333333,0.5974358974358974,0.540625,0.20540540540540542,0.31422132762599475,0.59,0.9833333333333333,0.7375,0.9166666666666666,0.21153846153846154,0.34375,0.540625,0.5546875,112,"[[59, 1], [41, 11]]"
NGC,Model,4,0.7247706422018348,0.7391141141141141,0.7153482082488167,0.7141608391608392,0.43795118597456173,0.4538404831721277,0.6944444444444444,0.8620689655172413,0.7692307692307693,0.7837837837837838,0.5686274509803921,0.6590909090909091,0.7141608391608392,0.7176974401745044,109,"[[50, 8], [22, 29]]"
