dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.5069444444444444,0.7517482517482518,0.5069444444444444,0.34858235106721885,0.01388888888888884,0.08362420100070908,0.5034965034965035,1.0,0.6697674418604651,1.0,0.013888888888888888,0.0273972602739726,0.34858235106721885,0.34858235106721885,144,"[[72, 0], [71, 1]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.5445544554455446,0.77,0.5106382978723404,0.37148268398268397,0.0227177114009256,0.10718844015157446,0.54,1.0,0.7012987012987013,1.0,0.02127659574468085,0.041666666666666664,0.37148268398268397,0.3943412198362694,101,"[[54, 0], [46, 1]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.4965034965034965,0.49822695035460995,0.49990219092331767,0.34370219275879654,-0.00019428793471942818,-0.0008328753777787187,0.49645390070921985,0.9859154929577465,0.660377358490566,0.5,0.013888888888888888,0.02702702702702703,0.34370219275879654,0.34148768111032257,143,"[[70, 1], [71, 1]]"
NGC,Model,1,0.51,0.7525252525252526,0.51,0.3551783129359126,0.020000000000000018,0.10050378152592121,0.5050505050505051,1.0,0.6711409395973155,1.0,0.02,0.0392156862745098,0.3551783129359126,0.3551783129359126,100,"[[50, 0], [49, 1]]"
UGC,Model,2,0.4930555555555556,0.4964788732394366,0.4998070615473664,0.3419718309859155,-0.0003806623524933439,-0.001648466861917332,0.49295774647887325,0.9859154929577465,0.6572769953051644,0.5,0.0136986301369863,0.02666666666666667,0.3419718309859155,0.3375925925925926,144,"[[70, 1], [72, 1]]"
NGC,Model,2,0.5268817204301075,0.5137362637362637,0.5011595547309833,0.36459627329192545,0.0024378352023403105,0.007981967076208468,0.5274725274725275,0.9795918367346939,0.6857142857142857,0.5,0.022727272727272728,0.043478260869565216,0.36459627329192545,0.38186068256194483,93,"[[48, 1], [43, 1]]"
UGC,Model,3,0.5138888888888888,0.42553191489361697,0.49391304347826087,0.35185185185185186,-0.012658227848101333,-0.04258093452707315,0.5177304964539007,0.9733333333333334,0.6759259259259259,0.3333333333333333,0.014492753623188406,0.027777777777777776,0.35185185185185186,0.3653549382716049,144,"[[73, 2], [68, 1]]"
NGC,Model,3,0.5714285714285714,0.7835051546391752,0.5116279069767442,0.3845693779904306,0.026029342167534275,0.11483155603877891,0.5670103092783505,1.0,0.7236842105263158,1.0,0.023255813953488372,0.045454545454545456,0.3845693779904306,0.42609364319890636,98,"[[55, 0], [42, 1]]"
UGC,Model,4,0.5068493150684932,0.5034722222222222,0.5001876876876877,0.3483758988346144,0.00038037276530999975,0.001614550538108601,0.5069444444444444,0.9864864864864865,0.6697247706422018,0.5,0.013888888888888888,0.02702702702702703,0.3483758988346144,0.35277793817444436,146,"[[73, 1], [71, 1]]"
NGC,Model,4,0.5625,0.7756410256410257,0.527027027027027,0.40665395210849753,0.05787348586810248,0.17262395488178864,0.5512820512820513,1.0,0.7107438016528925,1.0,0.05405405405405406,0.10256410256410256,0.40665395210849753,0.42946069082432714,80,"[[43, 0], [35, 2]]"
