dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.7419354838709677,0.7675100843417675,0.742923742923743,0.7361252979230508,0.4848786972416085,0.5098413516306747,0.6831683168316832,0.8961038961038961,0.7752808988764045,0.8518518518518519,0.5897435897435898,0.696969696969697,0.7361252979230508,0.7358726811427065,155,"[[69, 8], [32, 46]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.7612903225806451,0.8035232961108971,0.7624875124875125,0.753237812486554,0.523710655261191,0.5645213015579131,0.6886792452830188,0.948051948051948,0.7978142076502732,0.9183673469387755,0.5769230769230769,0.7086614173228346,0.753237812486554,0.7529502228403363,155,"[[73, 4], [33, 45]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.7096774193548387,0.7438390450519831,0.7108724608724608,0.6998838259971601,0.4207291753176646,0.45351489275172663,0.6509433962264151,0.8961038961038961,0.7540983606557377,0.8367346938775511,0.5256410256410257,0.6456692913385826,0.6998838259971601,0.6995340548058145,155,"[[69, 8], [37, 41]]"
NGC,Model,1,0.8064516129032258,0.8329725829725829,0.8073593073593073,0.8028324287652646,0.6135948146917068,0.6398194197493309,0.7373737373737373,0.948051948051948,0.8295454545454546,0.9285714285714286,0.6666666666666666,0.7761194029850746,0.8028324287652646,0.8026600866634569,155,"[[73, 4], [26, 52]]"
UGC,Model,2,0.7290322580645161,0.7759274032708416,0.7303529803529804,0.717741935483871,0.459481899701096,0.5042249486270868,0.6605504587155964,0.935064935064935,0.7741935483870968,0.8913043478260869,0.5256410256410257,0.6612903225806451,0.717741935483871,0.7173777315296566,155,"[[72, 5], [37, 41]]"
NGC,Model,2,0.8064516129032258,0.8280305723426946,0.8072760572760573,0.803498985801217,0.613530585106383,0.6349675296752478,0.7422680412371134,0.935064935064935,0.8275862068965517,0.9137931034482759,0.6794871794871795,0.7794117647058824,0.803498985801217,0.8033435843747956,155,"[[72, 5], [25, 53]]"
UGC,Model,3,0.7612903225806451,0.7818653777300394,0.7621545121545121,0.7572486772486773,0.5233939998337904,0.5436626917200251,0.7040816326530612,0.8961038961038961,0.7885714285714286,0.8596491228070176,0.6282051282051282,0.725925925925926,0.7572486772486773,0.7570465949820789,155,"[[69, 8], [29, 49]]"
NGC,Model,3,0.8451612903225807,0.8702112423916935,0.8443223443223443,0.8422659430122117,0.6897931954636425,0.7140644309158538,0.7755102040816326,0.9743589743589743,0.8636363636363636,0.9649122807017544,0.7142857142857143,0.8208955223880597,0.8422659430122117,0.8424038166936578,155,"[[76, 2], [22, 55]]"
UGC,Model,4,0.7935483870967742,0.8100877192982456,0.7942890442890442,0.7910347152005393,0.5876974231088944,0.6041702361356446,0.7368421052631579,0.9090909090909091,0.813953488372093,0.8833333333333333,0.6794871794871795,0.7681159420289855,0.7910347152005393,0.7908868521478195,155,"[[70, 7], [25, 53]]"
NGC,Model,4,0.7806451612903226,0.8106733259341472,0.7796370296370296,0.7747863247863248,0.5603937270603938,0.5894939051480743,0.7156862745098039,0.9358974358974359,0.8111111111111111,0.9056603773584906,0.6233766233766234,0.7384615384615385,0.7747863247863248,0.7750206782464848,155,"[[73, 5], [29, 48]]"
