dataset,condition,run_id,accuracy,precision,recall,f1_score,cohen_kappa,mcc,precision_false,recall_false,f1_false,precision_true,recall_true,f1_true,macro_f1,weighted_f1,n_samples,confusion_matrix
UGC,Model,0,0.5407407407407407,0.7686567164179104,0.5079365079365079,0.36513956310679613,0.016913319238900604,0.09235141930792203,1.0,0.015873015873015872,0.03125,0.5373134328358209,1.0,0.6990291262135923,0.36513956310679613,0.3873988673139159,135,"[[1, 62], [0, 72]]"
UGC,Random,0,0.4967741935483871,0.4965753424657534,0.4965867465867466,0.49624999999999997,-0.0068287808127915905,-0.0068379014377193655,0.4931506849315068,0.4675324675324675,0.48,0.5,0.5256410256410257,0.5125,0.49624999999999997,0.49635483870967745,155,"[[36, 41], [37, 41]]"
UGC,Majority,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
UGC,TFIDF,0,0.5032258064516129,0.25161290322580643,0.5,0.33476394849785407,0.0,0.0,0.0,0.0,0.0,0.5032258064516129,1.0,0.6695278969957081,0.33476394849785407,0.33692371590751763,155,"[[0, 77], [0, 78]]"
NGC,Model,0,0.448,0.224,0.5,0.30939226519337015,0.0,0.0,0.0,0.0,0.0,0.448,1.0,0.6187845303867403,0.30939226519337015,0.27721546961325966,125,"[[0, 69], [0, 56]]"
NGC,Random,0,0.4838709677419355,0.48362846642165047,0.4836829836829837,0.48333333333333334,-0.03264490339773496,-0.0326885044339755,0.4794520547945205,0.45454545454545453,0.4666666666666667,0.4878048780487805,0.5128205128205128,0.5,0.48333333333333334,0.4834408602150538,155,"[[35, 42], [38, 40]]"
NGC,Majority,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
NGC,TFIDF,0,0.4967741935483871,0.24838709677419354,0.5,0.33189655172413796,0.0,0.0,0.4967741935483871,1.0,0.6637931034482759,0.0,0.0,0.0,0.33189655172413796,0.3297552836484984,155,"[[77, 0], [78, 0]]"
UGC,Model,1,0.518796992481203,0.2633587786259542,0.4859154929577465,0.3415841584158416,-0.030009680542110173,-0.11546384627112026,0.0,0.0,0.0,0.5267175572519084,0.971830985915493,0.6831683168316832,0.3415841584158416,0.36469887590262784,133,"[[0, 62], [2, 69]]"
NGC,Model,1,0.4596774193548387,0.22983870967741934,0.5,0.3149171270718232,0.0,0.0,0.0,0.0,0.0,0.4596774193548387,1.0,0.6298342541436464,0.3149171270718232,0.28952058456603097,124,"[[0, 67], [0, 57]]"
UGC,Model,2,0.5035971223021583,0.2536231884057971,0.49295774647887325,0.3349282296650718,-0.014383923849814906,-0.08330781401461114,0.0,0.0,0.0,0.5072463768115942,0.9859154929577465,0.6698564593301436,0.3349282296650718,0.3421568964923755,139,"[[0, 68], [1, 70]]"
NGC,Model,2,0.48360655737704916,0.24180327868852458,0.5,0.3259668508287293,0.0,0.0,0.0,0.0,0.0,0.48360655737704916,1.0,0.6519337016574586,0.3259668508287293,0.3152794130966398,122,"[[0, 63], [0, 59]]"
UGC,Model,3,0.5073529411764706,0.25555555555555554,0.4928571428571429,0.33658536585365856,-0.01469933184855221,-0.08357108940373449,0.0,0.0,0.0,0.5111111111111111,0.9857142857142858,0.6731707317073171,0.33658536585365856,0.3464849354375897,136,"[[0, 66], [1, 69]]"
NGC,Model,3,0.48484848484848486,0.24242424242424243,0.5,0.32653061224489793,0.0,0.0,0.0,0.0,0.0,0.48484848484848486,1.0,0.6530612244897959,0.32653061224489793,0.31663574520717375,132,"[[0, 68], [0, 64]]"
UGC,Model,4,0.5118110236220472,0.25793650793650796,0.49242424242424243,0.3385416666666667,-0.01573787409700711,-0.0856461168720295,0.0,0.0,0.0,0.5158730158730159,0.9848484848484849,0.6770833333333334,0.3385416666666667,0.35187007874015747,127,"[[0, 61], [1, 65]]"
NGC,Model,4,0.49230769230769234,0.24615384615384617,0.5,0.32989690721649484,0.0,0.0,0.0,0.0,0.0,0.49230769230769234,1.0,0.6597938144329897,0.32989690721649484,0.32482157018239494,130,"[[0, 66], [0, 64]]"
