id,claim,domain,structure,label,topic,prediction,random_baseline,majority_baseline,tfidf_baseline,run_id
10381.0,"Over 35 Palestinians were killed by Israeli bombardment in the Nsairat refugee camp, most of them children. 19.11.23 

ارتقاء اكثر من ٢٥ مواطن في قصف منزل في مخيم النصيرات",3.0,UGC,0.0,Palestine/Isreal,0.0,0,1.0,1.0,4
10175.0,PELOSI..SHUMMER AND THE FBI WERE BEHIND THE SO CALLED INSURRECTION <emoji: rage><emoji: fire><emoji: fire>,2.0,UGC,0.0,Jan 6th,0.0,0,1.0,1.0,4
10034.0,"Since Biden took over we have record inflation,$5 gas,a baby formula crisis,an overrun border,a drug overdose epidemic and a violent crime wave",1.0,UGC,0.0,Drug Crisis,1.0,0,1.0,1.0,4
10142.0,Pfizer mRNA Vaccine Lowers Sperm Concentration By 15.4% Months After Injection,1.0,UGC,0.0,Vaccines,0.0,1,1.0,1.0,4
10057.0,"During the pandemic, overdose deaths across the county skyrocketed by 30%. South Dakota was the ONLY state in America with a large drop ‚Äî  down by 16%.  We raised awareness. We protected South Dakotans‚Äô freedom to live their lives. More people sought help, and we were aggressive in providing those resources.",1.0,UGC,1.0,Drug Crisis,1.0,0,1.0,1.0,4
10102.0,Just when you thought Taco Bell's DRAG BUNCH was sickening‚ Now PIZZA HUT promotes kids TRANSGENDER book https://news.yahoo.com/cain-pizza-hut-drag-books-123324329.html #MT22 #UMTOO #MAGA #AndBeOnd,1.0,UGC,0.0,Sexual/Gender Health,0.0,1,1.0,1.0,4
10275.0,The real Joe Biden pedophile Joe Biden is long gone the clones that we‚Äôre watching have run its course. We have it all. We love you President Trump. We the patriots know you‚Äôre still the real president of the free republic. Thank you for setting us free. From the cabal Vatican Roth Childs Rockefellers.Ôøº,2.0,UGC,0.0,Political Figures,1.0,1,1.0,1.0,4
10236.0,DEMS ARE DESTROYING AMERICAN WITH A FOREIGN BORN POP HITTING 47M IN THE US IN 2022! As of April 2022 this is the largest number ever recorded in any U.S. government survey The foreign born/illegal aliens increased by 2 million with Biden in office (1.35 million are Illegals) which is twice as fast as the NATURAL BORN population growth  https://cis.org/Report/ForeignBorn-Population-Hit-Record-47-Million-April-2022%29 #MT22 #UMTOO #MAGA #AndBeOnd,2.0,UGC,1.0,Immigration,0.0,0,1.0,1.0,4
10134.0,WIN! Florida's Parental Rights in Education law took effect Friday which forbids instruction on sexual orientation and gender identity in kindergarten through third grade.  ,1.0,UGC,1.0,Sexual/Gender Health,1.0,1,1.0,1.0,4
10285.0,Joe Bidan is a perverted Pedophile Hunter is a child trafficking pediphile  Kamala Harris is a traitor mayor of Dc traitor   Pelosi Traitor Mitch Schumer graham the entire Democrats party is guilty of Treason  half you sleezy Republicans as well your all going to be put to death for Treason <emoji: boom><emoji: boom><emoji: boom><emoji: boom><emoji: boom><emoji: boom><emoji: hankey><emoji: hankey><emoji: hankey><emoji: hankey><emoji: hankey><emoji: dart><emoji: dart><emoji: dart><emoji: dart><emoji: face_vomiting><emoji: face_vomiting><emoji: face_vomiting><emoji: face_vomiting>,2.0,UGC,0.0,Political Figures,0.0,0,1.0,1.0,4
10049.0,Fentanyl overdoses are now the leading cause of death for Americans in the 18-45 demographic.  This isn't a black pill. This is reality. ,1.0,UGC,0.0,Drug Crisis,0.0,0,1.0,1.0,4
10140.0,"After 3 years and 99 million case studies ""The bottom line message is that COVID vaccines are very safe,""",1.0,UGC,0.0,Vaccines,0.0,0,1.0,1.0,4
10329.0,Turkey approved the nato expansion,2.0,UGC,1.0,Global Politics,0.0,1,1.0,1.0,4
10482.0,"The Democrats and President Obama gave Iran 150 Billion Dollars and got nothing, but they can’t give 5 Billion Dollars for National Security and a Wall?",3.0,UGC,0.0,Iran,0.0,0,1.0,1.0,4
10011.0,"Healthcare Control fake-Covid was the dress-rehearsal. We're going to see far more stringent controls over healthcare, especially when the next Plandemic hits. Whether it's a new variant of Covid, Monkeypox, Hemorrhagic Fever, or something else, we can expect a so-called with a higher death rate pop up and compel government to get fully in bed with Big Pharma.",1.0,UGC,0.0,Covid,1.0,1,1.0,1.0,4
10487.0,Trump obliterated Iran's nuclear capabilities. ,3.0,UGC,0.0,Iran,0.0,1,1.0,1.0,4
